OBJECTID,StopAbbr,StopName,FacingDir,Lighting,ADA_ACCESS,BASE,Route_List,Municipality,County,Ons_Dec19,OFFs_Dec19,Position,LIFT,CURB,CURB_CUT,SIDEWALK,Stop_Type,Latitude,Longitude,Census_2010_Tracts_GA_GEOID10,Census_2010_Tracts_GA_NAMELSAD10,Census_2010_Tracts_GA_INTPTLAT10,Census_2010_Tracts_GA_INTPTLON10,NoCarPercentage19,MedHHI19,TotPop19,PerCapitaInc19,Missing Amenities,Shelter
3233,901446,BELLEMEADE AVE @ NORTHSIDE DR,E,1,Y,DIRT,37,Atlanta,Fulton,16.154199,0.838634,NS,Y,Y,Y,Y,Sign,33.800217,-84.408053,13121008902,Census Tract 89.02,33.7984651,-84.4194299,4.5,72432,8007,55037.8,  ,0
3236,902578,BELLEMEADE AVE NW@TALLULAH ST NW,E,1,Y,DIRT,37,Atlanta,Fulton,23.845582,3.392102,NS,Y,Y,Y,Y,Sign,33.800296,-84.411267,13121008902,Census Tract 89.02,33.7984651,-84.4194299,4.5,72432,8007,55037.8,  ,0
3239,901671,BELLEMEADE AVE NW@BUCHANAN ST NW,E,1,Y,DIRT,37,Atlanta,Fulton,24.850902,10.852577,NS,Y,Y,Y,Y,Sign,33.80037,-84.41332,13121008902,Census Tract 89.02,33.7984651,-84.4194299,4.5,72432,8007,55037.8,  ,0
3408,902242,HOLLYWOOD RD NW@SPINK ST NW,SW,0,N,DIRT,60,Atlanta,Fulton,6.820146,2.273737,NS,Y,N,N,N,Sign,33.812328,-84.470604,13121008800,Census Tract 88,33.8122974,-84.4590844,6.2,103385,5430,49136.7,Lighting ADA_Access Sidewalk,0
3485,900043,LINDBERGH WAY NE @ W LINDMONT CT,E,1,N,DIRT,6,Atlanta,Fulton,9.468599,0.125,FS,Y,Y,Y,Y,Sign,33.820486,-84.364804,13121009402,Census Tract 94.02,33.8221523,-84.3642584,7.3,75088,5537,54033.6, ADA_Access ,0
3488,900044,LINDBERGH DR NE @ ADINA DR NE,E,1,Y,CONC,6,Atlanta,Fulton,14.70749,6.390524,NS,Y,Y,Y,Y,Sign,33.820585,-84.363316,13121009402,Census Tract 94.02,33.8221523,-84.3642584,7.3,75088,5537,54033.6,  ,0
3489,900591,LINDBERGH DR NE @ ADINA DR NE,W,1,Y,CONC,6,Atlanta,Fulton,2.939864,11.611631,NS,Y,Y,Y,Y,Sign,33.820666,-84.363153,13121009402,Census Tract 94.02,33.8221523,-84.3642584,7.3,75088,5537,54033.6,  ,0
3524,900580,BUFORD HWY NE @ SHADY VALLEY DR NE,E,1,Y,CONC,39,Atlanta,Fulton,15.959064,12.733788,FS,Y,Y,Y,Y,Sign,33.82552,-84.351437,13121009402,Census Tract 94.02,33.8221523,-84.3642584,7.3,75088,5537,54033.6,  ,0
3564,900638,PEACHTREE RD NW@SHERIDAN,S,0,Y,CONC,110,Atlanta,Fulton,22.873635,6.808765,NS,Y,Y,Y,Y,Sign,33.833595,-84.383653,13121009502,Census Tract 95.02,33.8419877,-84.3860683,13.4,86053,3867,91872,Lighting  ,0
3570,900654,PEACHTREE RD NW@PEACHTREE AVE NE,N,1,Y,CONC,110,Atlanta,Fulton,49.793611,66.540515,NS,Y,Y,Y,Y,Sign,33.83479,-84.382422,13121009502,Census Tract 95.02,33.8419877,-84.3860683,13.4,86053,3867,91872,  ,0
3575,902513,PEACHTREE RD @ PHARR RD NE,N,1,Y,CONC,110,Atlanta,Fulton,45.749364,52.905029,NS,Y,Y,Y,Y,MARTA Shelter,33.836966,-84.381379,13121009603,Census Tract 96.03,33.8343705,-84.3757572,10.9,83243,4830,80405.7,  ,1
3594,901693,PEACHTREE RD NW@MATHIESON DR NE,NE,1,Y,CONC,110,Atlanta,Fulton,8.036439,3.733465,NS,Y,Y,Y,Y,Sign,33.840317,-84.377192,13121009603,Census Tract 96.03,33.8343705,-84.3757572,10.9,83243,4830,80405.7,  ,0
3605,901705,PIEDMONT RD NE @ MARTINA DR NE,S,1,Y,DIRT,5,Atlanta,Fulton,15.152162,5.913757,FS,Y,Y,Y,Y,Sign,33.84171,-84.37053,13121009603,Census Tract 96.03,33.8343705,-84.3757572,10.9,83243,4830,80405.7,  ,0
3675,905577,ROSWELL RD NE @ MIDVALE DR NE,N,1,Y,DIRT,5,Atlanta,Fulton,8.184929,22.695035,NS,Y,Y,Y,Y,Sign,33.872971,-84.38097,13121010001,Census Tract 100.01,33.8638108,-84.3736780,3.4,108197,4923,99971.3,,0
